ID,title
SCAJ-20016,Argus Zhanshi
SCAJ-20017,Kaitou Sly Cooper
SCAJ-20018,This is Football 2003
SCAJ-20019,Arc the Lad: Seirei no Tasogare
SCAJ-20020,Drag-on Dragoon [Ultimate Hits]
SCAJ-20021,Metal Slug 3
SCAJ-20022,Dai-2-Ji Super Robot Taisen Alpha (Limited Edition)
SCAJ-20023,Soul Calibur II
SCAJ-20024,.Hack Zettai Houi Vol.4
SCAJ-20025,Gran Prix Challenge
SCAJ-20026,Generation of Chaos III: Toki no Fuuin
SCAJ-20027,Tenchu 3
SCAJ-20028,Tales of Destiny 2
SCAJ-20032,Ka 2: Let's Go Hawaiian
SCAJ-20033,Guilty Gear XX #Reload: The Midnight Carnival
SCAJ-20034,SUMMON NIGHT 3
SCAJ-20035,Dead to Rights
SCAJ-20037,Monster Farm 4
SCAJ-20038,Arc the Lad: Jing Ling Zhi Huang Hun
SCAJ-20039,Sidewinder V
SCAJ-20040,The King of Fighters 2001
SCAJ-20041,Energy Airforce: Aim Strike!
SCAJ-20043,ChainDive
SCAJ-20044,Lara Croft: Tomb Raider: Utsukushiki Toubousha
SCAJ-20045,Shadow Tower: Abyss
SCAJ-20046,Siren
SCAJ-20047,Time Crisis 3
SCAJ-20048,R: Racing Evolution
SCAJ-20050,Zero: Akai Chou
SCAJ-20052,Ratchet & Clank 2: Gagaga! Ginga no Commando-ssu
SCAJ-20055,Battle Gear 3
SCAJ-20056,Bujingai
SCAJ-20057,Front Mission 4
SCAJ-20058,Terminator 3: Rise of the Machines
SCAJ-20059,Minna no Golf 4: Everybody's Golf
SCAJ-20060,Time Crisis 3
SCAJ-20061,Seven Samurai 20XX
SCAJ-20062,"Crouching Tiger, Hidden Dragon"
SCAJ-20063,Popolocrois Story: Tsuki no Okite no Bouken
SCAJ-20064,Nebula: Echo Night
SCAJ-20065,EyeToy: Play (With Camera)
SCAJ-20066,Gran Turismo 4: Prologue
SCAJ-20067,Gungrave OD
SCAJ-20068,Final Fantasy X-2 International + Last Mission
SCAJ-20069,Gallop Racer: Lucy 7
SCAJ-20070,Star Ocean: Till the End of Time: Director's Cut (Disc 1)
SCAJ-20071,Star Ocean: Till the End of Time: Director's Cut (Disc 2)
SCAJ-20072,Koukaku Kidoutai: Stand Alone Complex
SCAJ-20073,Jak II: Jak x Daxter 2
SCAJ-20074,The King of Fighters 2002
SCAJ-20075,Dragon Quest V: Tenkuu no Hayanome
SCAJ-20076,Armored Core: Nexus
SCAJ-20077,Armored Core: Nexus
SCAJ-20078,Kuon
SCAJ-20080,Kaena
SCAJ-20081,Xenosaga Freaks
SCAJ-20082,Gungrave O.D.
SCAJ-20083,MT Bikers: Bakusou Mountain Bikers
SCAJ-20084,MLB '04
SCAJ-20085,Sakura Zakashobotai
SCAJ-20086,Xenosaga Episode II: Jenseits von Gut und Bose (Disc 1)
SCAJ-20087,Xenosaga Episode II: Jenseits von Gut und Bose (Disc 2)
SCAJ-20088,Yu Zi: Qiang Jiu Shui Tang Da Zuo Zhan
